Comment,Designator,Footprint,LCSC
100k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17407
10k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
470p,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1743
1k,"R2,R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
3k3,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010
2200pF,"C2,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260
22u,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
1n,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653
100n,"C1,C13,C3,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
SID_AUDIO_OUT,J2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,
74LS00,U2,SOIC-14_3.9x8.7mm_P1.27mm,
SID_/RST,H1,PinHeader_1x01_P2.54mm_Vertical,
SID_AUDIO_IN,J3,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,
SID,U3,DIP-28_W15.24mm_Socket_LongPads,
10u,C10,CP_Radial_D7.5mm_P2.50mm,
74HC688,U1,TSSOP-20_4.4x6.5mm_P0.65mm,
47u,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
BC547,Q1,TO-92_Inline_Wide,
10u,C11,CP_Radial_D7.5mm_P2.50mm,
LM7809_TO220,U4,TO-220-3_Horizontal_TabDown,
AudioJack3,J1,Jack_3.5mm_4UCON,
12V/9V,JP10,PinHeader_1x03_P2.54mm_Horizontal,
47u,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
SG-7050CCN,X1,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,
JPR3,JP5,PinHeader_1x03_P2.54mm_Vertical,
JPR7,JP9,PinHeader_1x03_P2.54mm_Vertical,
JPR2,JP4,PinHeader_1x03_P2.54mm_Vertical,
/RST To SID,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
JPR1,JP3,PinHeader_1x03_P2.54mm_Vertical,
JPR4,JP6,PinHeader_1x03_P2.54mm_Vertical,
JPR6,JP8,PinHeader_1x03_P2.54mm_Vertical,
JPR0,JP2,PinHeader_1x03_P2.54mm_Vertical,
12V,J4,PinHeader_1x01_P2.54mm_Vertical,
JPR5,JP7,PinHeader_1x03_P2.54mm_Vertical,
GND,J5,PinHeader_1x01_P2.54mm_Vertical,
Disconnect C11 from Audio OUT,JP11,PinHeader_1x02_P2.54mm_Vertical,
74HC245,U5,SOIC-20W_7.5x12.8mm_P1.27mm,
